"player","squad","comp","pos","age","born","matches_played","starts","min_played","nineties","goals","assists","total_contributions","yellow_cards","red_cards","total_shots","shots_on_target","fouls_committed","fouls_drawn","tackles_won","fatigue_percentage","fatigue_status","contributions_per_90"
"Conrad Harder","RB Leipzig","de Bundesliga","FW",20.0,2005,29,8,932,10.4,3,3,6,3,0,42,13,21,18,6,34.5,"مشاركة قليلة",0.58
"Janis Blaswich","Leverkusen","de Bundesliga","GK",34.0,1991,11,10,931,10.3,0,0,0,1,0,0,0,0,0,0,34.5,"مشاركة قليلة",0.00
"Florian Neuhaus","Gladbach","de Bundesliga","MF,FW",28.0,1997,17,11,930,10.3,0,1,1,0,0,22,6,9,9,7,34.4,"مشاركة قليلة",0.10
"Hiroki Ito","Bayern Munich","de Bundesliga","DF",26.0,1999,16,10,920,10.2,1,2,3,0,0,10,3,10,3,3,34.1,"مشاركة قليلة",0.29
"Carney Chukwuemeka","Dortmund","de Bundesliga","MF,FW",21.0,2003,28,8,919,10.2,2,0,2,2,0,18,2,11,15,15,34.0,"مشاركة قليلة",0.20
"Michael Gregoritsch","Augsburg","de Bundesliga","FW",31.0,1994,17,11,913,10.1,6,2,8,2,0,29,10,5,18,4,33.8,"مشاركة قليلة",0.79
"Bakery Jatta","Hamburger SV","de Bundesliga","MF",27.0,1998,15,12,911,10.1,1,1,2,1,0,11,4,13,5,11,33.7,"مشاركة قليلة",0.20
"Luca Jaquez","Stuttgart","de Bundesliga","DF",22.0,2003,14,10,898,10.0,0,1,1,1,0,4,0,4,2,7,33.3,"مشاركة قليلة",0.10
"Mario Götze","Eintracht Frankfurt","de Bundesliga","MF",33.0,1992,21,8,886,9.8,0,0,0,1,0,5,0,9,12,8,32.8,"مشاركة قليلة",0.00
"Robin Zentner","Mainz 05","de Bundesliga","GK",30.0,1994,10,10,876,9.7,0,0,0,2,1,0,0,2,1,0,32.4,"مشاركة قليلة",0.00
"Benedict Hollerbach","Mainz 05","de Bundesliga","FW,MF",24.0,2001,14,13,872,9.7,1,3,4,0,0,22,6,18,12,8,32.3,"مشاركة قليلة",0.41
"Nathan Tella","Leverkusen","de Bundesliga","MF",26.0,1999,17,10,868,9.6,1,4,5,2,0,24,8,15,19,6,32.1,"مشاركة قليلة",0.52
"Adrian Beck","Heidenheim","de Bundesliga","MF",28.0,1997,24,9,868,9.6,1,1,2,1,0,11,4,13,14,17,32.1,"مشاركة قليلة",0.21
"Jahmai Simpson-Pusey","Köln","de Bundesliga","DF",19.0,2005,11,10,863,9.6,0,0,0,2,1,6,3,4,4,8,32.0,"مشاركة قليلة",0.00
"Mattias Svanberg","Wolfsburg","de Bundesliga","MF",26.0,1999,24,8,861,9.6,3,1,4,6,1,21,8,18,19,7,31.9,"مشاركة قليلة",0.42
"Andreas Hanche-Olsen","Mainz 05","de Bundesliga","DF",28.0,1997,13,8,851,9.5,0,1,1,3,0,6,3,13,6,5,31.5,"مشاركة قليلة",0.11
"Jeffrey Gouweleeuw","Augsburg","de Bundesliga","DF",34.0,1991,11,10,848,9.4,0,1,1,3,0,5,3,7,3,10,31.4,"مشاركة قليلة",0.11
"Arthur Chaves","Augsburg","de Bundesliga","DF",24.0,2001,11,9,829,9.2,2,0,2,1,0,4,2,8,8,13,30.7,"مشاركة قليلة",0.22
"Stefan Schimmer","Heidenheim","de Bundesliga","FW",31.0,1994,27,3,820,9.1,5,1,6,1,0,32,12,13,5,4,30.4,"مشاركة قليلة",0.66
"Fábio Silva","Dortmund","de Bundesliga","FW,MF",23.0,2002,28,7,817,9.1,2,6,8,3,0,23,8,19,10,2,30.3,"مشاركة قليلة",0.88
"Stanley N'Soki","Union Berlin","de Bundesliga","DF,MF",26.0,1999,13,10,816,9.1,1,2,3,2,0,3,1,8,8,9,30.2,"مشاركة قليلة",0.33
"Kilian Fischer","Wolfsburg","de Bundesliga","DF",24.0,2000,11,10,800,8.9,0,0,0,0,0,2,0,10,4,13,29.6,"مشاركة قليلة",0.00
"Raphaël Guerreiro","Bayern Munich","de Bundesliga","MF",31.0,1993,18,8,784,8.7,5,2,7,0,0,12,5,3,2,7,29.0,"مشاركة قليلة",0.80
"Johan Bakayoko","RB Leipzig","de Bundesliga","FW,MF",22.0,2003,20,8,777,8.6,2,0,2,1,0,24,9,12,11,3,28.8,"مشاركة قليلة",0.23
"Brajan Gruda","RB Leipzig","de Bundesliga","MF,FW",21.0,2004,13,8,753,8.4,3,3,6,1,0,22,10,10,12,8,27.9,"مشاركة قليلة",0.72
"Felix Agu","Werder Bremen","de Bundesliga","DF,MF",25.0,1999,11,9,744,8.3,0,0,0,1,0,2,1,8,14,14,27.6,"مشاركة قليلة",0.00
"Montrell Culbreath","Leverkusen","de Bundesliga","MF,DF",17.0,2007,12,9,736,8.2,1,0,1,0,0,8,2,5,11,16,27.3,"مشاركة قليلة",0.12
"Denis Huseinbasic","Köln","de Bundesliga","MF",24.0,2001,15,9,726,8.1,0,0,0,1,0,6,0,8,8,9,26.9,"مشاركة قليلة",0.00
"Mahmoud Dahoud","Eintracht Frankfurt","de Bundesliga","MF,FW",29.0,1996,15,8,716,8.0,2,3,5,0,0,17,2,16,2,8,26.5,"مشاركة قليلة",0.63
"Niklas Stark","Werder Bremen","de Bundesliga","DF",30.0,1995,14,9,697,7.7,0,0,0,8,2,3,1,11,7,12,25.8,"مشاركة قليلة",0.00
"Mathias Rasmussen","St Pauli","de Bundesliga","MF",27.0,1997,13,8,694,7.7,0,0,0,0,0,6,2,6,7,6,25.7,"مشاركة قليلة",0.00
"Jamal Musiala","Bayern Munich","de Bundesliga","MF,FW",22.0,2003,15,7,683,7.6,3,4,7,1,0,30,9,5,18,5,25.3,"مشاركة قليلة",0.92
"Isaac Schmidt","Werder Bremen","de Bundesliga","MF,DF",25.0,1999,19,6,682,7.6,1,0,1,2,0,5,2,8,3,10,25.3,"مشاركة قليلة",0.13
"Luca Kerber","Heidenheim","de Bundesliga","MF",23.0,2002,18,8,682,7.6,2,0,2,3,0,9,3,12,6,11,25.3,"مشاركة قليلة",0.26
"Jenson Seelt","Wolfsburg","de Bundesliga","DF",22.0,2003,9,8,681,7.6,0,0,0,0,0,2,0,5,6,9,25.2,"مشاركة قليلة",0.00
"Luca Waldschmidt","Köln","de Bundesliga","FW,MF",29.0,1996,24,7,677,7.5,5,4,9,1,0,26,13,9,6,3,25.1,"مشاركة قليلة",1.20
"Martin Terrier","Leverkusen","de Bundesliga","MF,FW",28.0,1997,18,7,675,7.5,4,1,5,1,0,17,6,1,13,4,25.0,"مشاركة قليلة",0.67
"Timo Hübers","Köln","de Bundesliga","DF",29.0,1996,8,8,675,7.5,0,0,0,0,0,0,0,8,10,9,25.0,"مشاركة قليلة",0.00
"Fabio Chiarodia","Gladbach","de Bundesliga","DF",20.0,2005,15,8,674,7.5,0,0,0,1,0,4,1,8,1,9,25.0,"مشاركة قليلة",0.00
"Alessio Castro-Montes","Köln","de Bundesliga","MF,DF",28.0,1997,14,7,672,7.5,1,3,4,2,0,8,1,13,10,17,24.9,"مشاركة قليلة",0.54
"Nikolas Veratschnig","Mainz 05","de Bundesliga","MF,DF",22.0,2003,21,6,660,7.3,0,1,1,3,0,4,1,12,10,13,24.4,"مشاركة قليلة",0.14
"El Chadaille Bitshiabu","RB Leipzig","de Bundesliga","DF",20.0,2005,11,8,655,7.3,0,0,0,0,0,2,0,4,0,6,24.3,"مشاركة قليلة",0.00
"Livan Burcu","Union Berlin","de Bundesliga","MF,FW",20.0,2004,18,6,651,7.2,1,1,2,4,0,16,3,6,14,7,24.1,"مشاركة قليلة",0.28
"Keke Topp","Werder Bremen","de Bundesliga","FW",21.0,2004,20,7,638,7.1,1,1,2,4,0,25,3,16,7,5,23.6,"مشاركة قليلة",0.28
"Rodrigo Ribeiro","Augsburg","de Bundesliga","FW",20.0,2005,14,6,636,7.1,2,0,2,1,0,26,7,10,3,3,23.6,"مشاركة قليلة",0.28
"Sirlord Conteh","Heidenheim","de Bundesliga","MF,FW",29.0,1996,15,3,625,6.9,2,1,3,1,0,10,3,7,10,7,23.1,"مشاركة قليلة",0.43
"Tim Skarke","Union Berlin","de Bundesliga","MF,FW",28.0,1996,22,4,623,6.9,1,1,2,0,0,14,5,8,9,4,23.1,"مشاركة قليلة",0.29
"Emre Can","Dortmund","de Bundesliga","DF",31.0,1994,9,7,621,6.9,3,0,3,3,0,5,4,10,10,8,23.0,"مشاركة قليلة",0.43
"Leonardo Bittencourt","Werder Bremen","de Bundesliga","MF",31.0,1993,17,5,615,6.8,0,1,1,5,0,7,0,7,11,10,22.8,"مشاركة قليلة",0.15
"Pascal Groß","Dortmund","de Bundesliga","MF",34.0,1991,11,7,613,6.8,0,1,1,0,0,8,1,10,4,6,22.7,"مشاركة قليلة",0.15
"Robert Glatzel","Hamburger SV","de Bundesliga","FW",31.0,1994,19,7,612,6.8,3,2,5,0,0,16,7,9,13,1,22.7,"مشاركة قليلة",0.74
"Ezechiel Banzuzi","RB Leipzig","de Bundesliga","MF",20.0,2005,24,2,597,6.6,0,1,1,3,0,15,4,14,7,10,22.1,"مشاركة قليلة",0.15
"Connor Metcalfe","St Pauli","de Bundesliga","MF,FW",25.0,1999,25,3,592,6.6,0,2,2,2,0,16,4,9,2,9,21.9,"مشاركة قليلة",0.30
"Ayoube Amaimouni Echghouyab","Eintracht Frankfurt","de Bundesliga","MF,FW",20.0,2004,17,6,586,6.5,2,3,5,1,0,12,7,8,10,5,21.7,"مشاركة قليلة",0.77
"Nelson Weiper","Mainz 05","de Bundesliga","FW",20.0,2005,24,3,558,6.2,0,0,0,1,0,13,6,6,3,2,20.7,"مشاركة قليلة",0.00
"Wael Mohya","Gladbach","de Bundesliga","MF,FW",16.0,2008,15,6,552,6.1,2,1,3,1,0,11,5,4,13,7,20.4,"مشاركة قليلة",0.49
"Hugo Bolin","Gladbach","de Bundesliga","MF,FW",22.0,2003,13,5,550,6.1,1,1,2,0,0,15,4,2,12,2,20.4,"مشاركة قليلة",0.33
"Armindo Sieb","Mainz 05","de Bundesliga","FW",22.0,2003,22,3,548,6.1,2,0,2,1,0,18,6,16,2,4,20.3,"مشاركة قليلة",0.33
"Mikkel Kaufmann","Heidenheim","de Bundesliga","FW",24.0,2001,16,6,537,6.0,1,1,2,2,0,11,3,14,13,2,19.9,"مشاركة قليلة",0.34
"Damion Downs","Hamburger SV","de Bundesliga","FW",21.0,2004,12,6,536,6.0,0,0,0,0,0,7,4,8,1,2,19.9,"مشاركة قليلة",0.00
"Anthony Jung","Freiburg","de Bundesliga","DF",33.0,1991,12,4,526,5.8,0,0,0,2,0,1,0,4,3,1,19.5,"مشاركة قليلة",0.00
"Alphonso Davies","Bayern Munich","de Bundesliga","DF",24.0,2000,13,6,525,5.8,1,3,4,1,0,4,1,2,5,6,19.4,"مشاركة قليلة",0.69
"Gio Reyna","Gladbach","de Bundesliga","MF",22.0,2002,19,4,520,5.8,1,0,1,1,0,7,2,5,10,6,19.3,"مشاركة قليلة",0.17
"Anthony Caci","Mainz 05","de Bundesliga","MF",28.0,1997,10,6,519,5.8,0,0,0,3,0,6,0,9,3,10,19.2,"مشاركة قليلة",0.00
"Julián Malatini","Werder Bremen","de Bundesliga","DF",24.0,2001,11,5,516,5.7,0,0,0,3,0,2,0,7,1,6,19.1,"مشاركة قليلة",0.00
"Luca Reggiani","Dortmund","de Bundesliga","DF",17.0,2008,8,6,511,5.7,1,0,1,2,0,3,1,4,2,10,18.9,"مشاركة قليلة",0.18
"Max Finkgräfe","RB Leipzig","de Bundesliga","DF",21.0,2004,13,5,504,5.6,1,1,2,2,0,4,2,3,4,12,18.7,"مشاركة قليلة",0.36
"Elias Saad","Augsburg","de Bundesliga","MF,FW",25.0,1999,10,7,497,5.5,0,0,0,1,0,6,3,8,12,8,18.4,"مشاركة قليلة",0.00
"Max Rosenfelder","Freiburg","de Bundesliga","DF",22.0,2003,12,5,492,5.5,0,0,0,0,0,1,0,2,5,5,18.2,"مشاركة قليلة",0.00
"Albert Grønbaek","Hamburger SV","de Bundesliga","MF",24.0,2001,7,6,492,5.5,1,2,3,0,0,8,4,2,6,10,18.2,"مشاركة قليلة",0.55
"Jovan Milošević","Werder Bremen","de Bundesliga","FW",20.0,2005,13,5,488,5.4,3,1,4,2,0,12,4,8,3,2,18.1,"مشاركة قليلة",0.74
"Niklas Süle","Dortmund","de Bundesliga","DF",29.0,1995,11,7,486,5.4,0,1,1,3,0,2,1,8,1,5,18.0,"مشاركة قليلة",0.19
"Lennard Maloney","Mainz 05","de Bundesliga","DF,MF",25.0,1999,21,4,485,5.4,0,0,0,1,0,5,1,13,3,8,18.0,"مشاركة قليلة",0.00
"Jonas Wind","Wolfsburg","de Bundesliga","FW",26.0,1999,11,5,481,5.3,1,0,1,1,0,9,6,2,14,0,17.8,"مشاركة قليلة",0.19
"Lucas Vázquez","Leverkusen","de Bundesliga","MF",34.0,1991,12,6,481,5.3,1,2,3,2,0,4,1,6,8,4,17.8,"مشاركة قليلة",0.56
"Philip Otele","Hamburger SV","de Bundesliga","MF,FW",26.0,1999,9,7,471,5.2,1,1,2,3,1,7,3,8,4,2,17.4,"مشاركة قليلة",0.38
"Arnaud Nordin","Mainz 05","de Bundesliga","MF,FW",27.0,1998,13,5,469,5.2,0,0,0,0,0,13,2,4,13,6,17.4,"مشاركة قليلة",0.00
"Badredine Bouanani","Stuttgart","de Bundesliga","MF",20.0,2004,14,5,463,5.1,0,0,0,1,0,16,4,1,6,3,17.1,"مشاركة قليلة",0.00
"Sacha Boey","Bayern Munich","de Bundesliga","DF",24.0,2000,9,5,463,5.1,0,0,0,1,0,6,0,10,8,4,17.1,"مشاركة قليلة",0.00
"Alex Král","Union Berlin","de Bundesliga","MF",27.0,1998,20,2,459,5.1,0,0,0,1,0,7,3,4,11,5,17.0,"مشاركة قليلة",0.00
"Fabio Baldé","Hamburger SV","de Bundesliga","FW,MF",20.0,2005,16,3,448,5.0,1,1,2,1,0,9,4,4,2,7,16.6,"مشاركة قليلة",0.40
"Junior Adamu","Freiburg","de Bundesliga","FW",24.0,2001,9,7,446,5.0,1,1,2,1,0,8,3,10,9,6,16.5,"مشاركة قليلة",0.40
"Max Moerstedt","Hoffenheim","de Bundesliga","FW",19.0,2006,22,1,420,4.7,2,0,2,2,0,6,4,14,10,3,15.6,"مشاركة قليلة",0.43
"Samuel Essende","Augsburg","de Bundesliga","MF,FW",27.0,1998,14,2,414,4.6,1,0,1,2,0,17,4,17,14,2,15.3,"مشاركة قليلة",0.22
"Christian Conteh","Heidenheim","de Bundesliga","MF,FW",25.0,1999,9,4,404,4.5,0,0,0,0,0,3,0,4,3,1,15.0,"مشاركة قليلة",0.00
"Samuele Inácio","Dortmund","de Bundesliga","MF",17.0,2008,7,4,384,4.3,1,0,1,2,0,9,5,7,10,2,14.2,"مشاركة قليلة",0.23
"Dominique Heintz","Köln","de Bundesliga","DF",31.0,1993,9,5,382,4.2,0,0,0,0,0,0,0,2,4,1,14.1,"مشاركة قليلة",0.00
"Ameen Al-Dakhil","Stuttgart","de Bundesliga","DF",23.0,2002,8,3,380,4.2,0,0,0,1,0,1,0,1,0,3,14.1,"مشاركة قليلة",0.00
"Jesper Lindstrøm","Wolfsburg","de Bundesliga","MF",25.0,2000,13,4,379,4.2,0,0,0,2,0,9,5,10,4,6,14.0,"مشاركة قليلة",0.00
"Aaron Anselmino","Dortmund","de Bundesliga","DF",20.0,2005,6,4,368,4.1,1,0,1,0,0,1,1,6,3,8,13.6,"مشاركة قليلة",0.24
"Andreas Skov Olsen","Wolfsburg","de Bundesliga","MF",25.0,1999,8,4,362,4.0,1,0,1,1,0,7,2,1,4,1,13.4,"مشاركة قليلة",0.25
"Patrice Čović","Werder Bremen","de Bundesliga","MF",18.0,2007,15,2,351,3.9,1,0,1,1,0,5,2,6,2,6,13.0,"مشاركة قليلة",0.26
"Ricky-Jade Jones","St Pauli","de Bundesliga","FW",24.0,2001,9,3,351,3.9,2,0,2,1,0,11,6,8,7,2,13.0,"مشاركة قليلة",0.51
"Tidiam Gomis","RB Leipzig","de Bundesliga","FW",18.0,2006,18,2,348,3.9,1,0,1,1,0,9,3,4,3,2,12.9,"مشاركة قليلة",0.26
"Cyriaque Irié","Freiburg","de Bundesliga","MF",20.0,2005,10,3,347,3.9,0,0,0,3,0,7,2,11,8,6,12.9,"مشاركة قليلة",0.00
"Kōta Takai","Gladbach","de Bundesliga","DF",20.0,2004,8,3,342,3.8,0,0,0,1,0,3,2,3,3,4,12.7,"مشاركة قليلة",0.00
"Abdoulie Ceesay","St Pauli","de Bundesliga","FW",21.0,2004,20,0,336,3.7,3,0,3,4,0,11,4,14,6,2,12.4,"مشاركة قليلة",0.80
"Yussuf Poulsen","Hamburger SV","de Bundesliga","FW",31.0,1994,15,1,334,3.7,1,0,1,4,0,7,3,13,3,2,12.4,"مشاركة قليلة",0.27
"Silas Katompa","Mainz 05","de Bundesliga","FW",26.0,1998,8,4,334,3.7,1,0,1,1,0,8,7,4,5,0,12.4,"مشاركة قليلة",0.27
"Victor Boniface","Werder Bremen","de Bundesliga","FW",24.0,2000,11,2,333,3.7,0,2,2,1,0,16,6,1,6,1,12.3,"مشاركة قليلة",0.54
"Josip Juranović","Union Berlin","de Bundesliga","MF",29.0,1995,11,3,330,3.7,1,1,2,1,0,4,1,0,3,4,12.2,"مشاركة قليلة",0.55
"Carl Klaus","Union Berlin","de Bundesliga","GK",31.0,1994,4,3,330,3.7,0,0,0,0,0,0,0,0,0,0,12.2,"مشاركة قليلة",0.00
"Elye Wahi","Eintracht Frankfurt","de Bundesliga","FW",22.0,2003,10,3,324,3.6,0,1,1,1,0,7,3,2,4,1,12.0,"مشاركة قليلة",0.28
"Alexander Røssing-Lelesiit","Hamburger SV","de Bundesliga","FW,MF",18.0,2007,11,5,321,3.6,0,1,1,3,1,2,2,13,7,2,11.9,"مشاركة قليلة",0.28
"Robin Hack","Gladbach","de Bundesliga","MF",26.0,1998,8,3,320,3.6,1,0,1,1,0,11,4,4,3,2,11.9,"مشاركة قليلة",0.28
"Kento Shiogai","Wolfsburg","de Bundesliga","MF",20.0,2005,12,2,318,3.5,1,0,1,3,0,9,6,8,3,4,11.8,"مشاركة قليلة",0.28
"Sota Kawasaki","Mainz 05","de Bundesliga","MF,DF",24.0,2001,10,3,309,3.4,0,0,0,1,0,1,0,6,2,5,11.4,"مشاركة قليلة",0.00
"Benjamin Henrichs","RB Leipzig","de Bundesliga","DF",28.0,1997,17,3,305,3.4,1,0,1,0,0,4,2,3,1,6,11.3,"مشاركة قليلة",0.30
"Otto Stange","Hamburger SV","de Bundesliga","FW",18.0,2007,10,2,293,3.3,0,0,0,0,0,9,1,5,6,3,10.9,"مشاركة قليلة",0.00
"Lasse Rieß","Mainz 05","de Bundesliga","GK",24.0,2001,4,3,292,3.2,0,0,0,0,0,0,0,0,1,0,10.8,"مشاركة قليلة",0.00
"Jeanuël Belocian","Leverkusen","de Bundesliga","DF",20.0,2005,8,3,292,3.2,0,0,0,0,0,1,0,5,5,2,10.8,"مشاركة قليلة",0.00
"Nicolas Höfler","Freiburg","de Bundesliga","MF",35.0,1990,13,2,291,3.2,0,0,0,0,0,4,2,6,3,6,10.8,"مشاركة قليلة",0.00
"Florian Kainz","Köln","de Bundesliga","MF",32.0,1992,15,2,279,3.1,1,1,2,1,0,8,4,5,4,2,10.3,"مشاركة قليلة",0.65
"Muhammed Damar","Hoffenheim","de Bundesliga","MF,FW",21.0,2004,15,2,277,3.1,0,0,0,0,0,12,8,4,2,3,10.3,"مشاركة قليلة",0.00
"Frank Feller","Heidenheim","de Bundesliga","GK",21.0,2004,3,3,270,3.0,0,0,0,0,0,0,0,0,2,1,10.0,"مشاركة قليلة",0.00
"Eliesse Ben Seghir","Leverkusen","de Bundesliga","MF",20.0,2005,10,2,252,2.8,0,0,0,2,0,5,2,3,10,2,9.3,"مشاركة قليلة",0.00
"Kosta Nedeljković","RB Leipzig","de Bundesliga","DF",19.0,2005,5,3,251,2.8,0,0,0,0,0,0,0,1,1,1,9.3,"مشاركة قليلة",0.00
"Eren Dinkçi","Freiburg","de Bundesliga","MF",23.0,2001,8,3,248,2.8,0,0,0,1,0,4,0,2,1,4,9.2,"مشاركة قليلة",0.00
"Yannik Keitel","Augsburg","de Bundesliga","MF,DF",25.0,2000,6,2,248,2.8,0,0,0,2,0,0,0,3,2,4,9.2,"مشاركة قليلة",0.00
"Jan Bürger","Wolfsburg","de Bundesliga","MF,DF",18.0,2007,7,2,247,2.7,0,0,0,0,0,2,1,4,5,3,9.1,"مشاركة قليلة",0.00
"Arthur Chaves","Hoffenheim","de Bundesliga","DF",24.0,2001,4,2,240,2.7,0,0,0,1,0,1,0,5,3,5,8.9,"مشاركة قليلة",0.00
"William Bøving","Mainz 05","de Bundesliga","MF",22.0,2003,9,2,223,2.5,0,1,1,1,0,1,0,2,2,2,8.3,"مشاركة قليلة",0.40
"Axel Tapé","Leverkusen","de Bundesliga","MF,DF",17.0,2007,6,2,222,2.5,0,0,0,1,0,3,1,7,7,1,8.2,"مشاركة قليلة",0.00
"Robert Skov","Union Berlin","de Bundesliga","DF,MF",29.0,1996,3,3,220,2.4,0,0,0,0,0,1,0,5,3,5,8.1,"مشاركة قليلة",0.00
"Mads Pedersen","Augsburg","de Bundesliga","MF",28.0,1996,7,1,210,2.3,0,0,0,0,0,3,0,5,3,2,7.8,"مشاركة قليلة",0.00
"Dan-Axel Zagadou","Stuttgart","de Bundesliga","DF",26.0,1999,3,3,209,2.3,0,0,0,0,0,6,1,5,1,4,7.7,"مشاركة قليلة",0.00
"Leonidas Stergiou","Heidenheim","de Bundesliga","DF",23.0,2002,5,1,206,2.3,0,0,0,0,0,1,0,3,1,3,7.6,"مشاركة قليلة",0.00
"Salim Musah","Werder Bremen","de Bundesliga","FW",19.0,2006,8,2,198,2.2,1,0,1,0,0,7,4,4,3,1,7.3,"مشاركة قليلة",0.45
"Phillip Tietz","Augsburg","de Bundesliga","FW",28.0,1997,10,0,198,2.2,1,0,1,2,0,6,3,6,4,1,7.3,"مشاركة قليلة",0.45
"Youssoupha Niang","Köln","de Bundesliga","MF",19.0,2006,10,2,194,2.2,0,0,0,0,0,5,1,6,4,1,7.2,"مشاركة قليلة",0.00
"Ihlas Bebou","Hoffenheim","de Bundesliga","FW,MF",31.0,1994,16,0,190,2.1,0,0,0,1,0,5,2,6,2,1,7.0,"مشاركة قليلة",0.00
"Thomas Keller","Heidenheim","de Bundesliga","DF",25.0,1999,4,3,188,2.1,0,0,0,1,0,2,0,3,2,1,7.0,"مشاركة قليلة",0.00
"Karl Jakob Hein","Werder Bremen","de Bundesliga","GK",23.0,2002,2,2,180,2.0,0,0,0,0,0,0,0,0,0,0,6.7,"مشاركة قليلة",0.00
"Léo Scienza","Heidenheim","de Bundesliga","MF",26.0,1998,2,2,180,2.0,1,0,1,0,0,4,1,1,7,2,6.7,"مشاركة قليلة",0.50
"Kevin Paredes","Wolfsburg","de Bundesliga","MF",22.0,2003,6,1,164,1.8,0,0,0,1,0,2,1,2,6,3,6.1,"مشاركة قليلة",0.00
"Maxim Leitsch","Mainz 05","de Bundesliga","DF",27.0,1998,3,2,162,1.8,0,0,0,0,0,1,0,2,1,1,6.0,"مشاركة قليلة",0.00
"Marvin Friedrich","Gladbach","de Bundesliga","DF",29.0,1995,6,1,152,1.7,0,0,0,0,0,0,0,2,2,3,5.6,"مشاركة قليلة",0.00
"Dapo Afolayan","St Pauli","de Bundesliga","MF",27.0,1997,7,1,150,1.7,0,0,0,1,0,4,2,2,6,2,5.6,"مشاركة قليلة",0.00
"Jonas Meffert","Hamburger SV","de Bundesliga","MF",30.0,1994,4,1,145,1.6,0,0,0,0,0,0,0,1,0,3,5.4,"مشاركة قليلة",0.00
"Aurélio Buta","Eintracht Frankfurt","de Bundesliga","DF",28.0,1997,4,1,144,1.6,0,0,0,1,0,1,0,3,2,5,5.3,"مشاركة قليلة",0.00
"Bara Ndiaye","Bayern Munich","de Bundesliga","MF",17.0,2007,4,2,143,1.6,0,0,0,0,0,0,0,1,3,5,5.3,"مشاركة قليلة",0.00
"Michy Batshuayi","Eintracht Frankfurt","de Bundesliga","FW",31.0,1993,6,1,139,1.5,1,0,1,0,0,5,1,2,1,1,5.1,"مشاركة قليلة",0.65
"Jonas Adjetey","Wolfsburg","de Bundesliga","DF",21.0,2003,4,1,137,1.5,0,0,0,1,0,3,0,4,0,1,5.1,"مشاركة قليلة",0.00
"Umut Tohumcu","Hoffenheim","de Bundesliga","MF",20.0,2004,5,1,136,1.5,0,0,0,2,0,2,0,2,2,1,5.0,"مشاركة قليلة",0.00
"Aboubaka Soumahoro","Hamburger SV","de Bundesliga","MF,DF",20.0,2005,4,2,136,1.5,0,0,0,1,0,0,0,3,0,0,5.0,"مشاركة قليلة",0.00
"Claudio Echeverri","Leverkusen","de Bundesliga","MF",19.0,2006,6,1,134,1.5,0,0,0,0,0,1,0,0,2,1,5.0,"مشاركة قليلة",0.00
"Younes Ebnoutalib","Eintracht Frankfurt","de Bundesliga","FW",21.0,2003,5,2,133,1.5,1,0,1,0,0,5,2,2,2,0,4.9,"مشاركة قليلة",0.68
"Filippo Mane","Dortmund","de Bundesliga","DF",20.0,2005,4,2,131,1.5,0,0,0,0,1,0,0,1,2,0,4.9,"مشاركة قليلة",0.00
"Emir Sahiti","Hamburger SV","de Bundesliga","FW",26.0,1998,2,2,120,1.3,0,0,0,0,0,0,0,0,1,0,4.4,"مشاركة قليلة",0.00
"Grant Ranos","Gladbach","de Bundesliga","FW",22.0,2003,8,0,119,1.3,1,0,1,1,0,4,2,1,1,1,4.4,"مشاركة قليلة",0.76
"Pascal Stenzel","Stuttgart","de Bundesliga","MF",29.0,1996,2,2,106,1.2,0,0,0,2,0,3,1,2,2,0,3.9,"مشاركة قليلة",0.00
"Felipe Chávez","Köln","de Bundesliga","MF",18.0,2007,7,0,102,1.1,0,0,0,0,0,5,1,1,1,2,3.8,"مشاركة قليلة",0.00
"Fynn Schenten","Köln","de Bundesliga","FW",17.0,2007,7,1,100,1.1,0,0,0,0,0,1,0,2,0,0,3.7,"مشاركة قليلة",0.00
"Lukas Klostermann","RB Leipzig","de Bundesliga","DF",29.0,1996,5,1,95,1.1,0,1,1,0,0,2,1,0,0,0,3.5,"مشاركة قليلة",0.95
"Ismaël Gharbi","Augsburg","de Bundesliga","MF",21.0,2004,6,0,94,1.0,0,0,0,0,0,3,0,2,8,1,3.5,"مشاركة قليلة",0.00
"Andrija Maksimović","RB Leipzig","de Bundesliga","FW",18.0,2007,8,0,93,1.0,0,0,0,0,0,2,0,1,2,0,3.4,"مشاركة قليلة",0.00
"Adam Kölle","Heidenheim","de Bundesliga","DF",19.0,2006,6,0,93,1.0,1,0,1,1,0,2,1,5,1,1,3.4,"مشاركة قليلة",0.97
"Piero Hincapié","Leverkusen","de Bundesliga","DF",23.0,2002,1,1,90,1.0,0,0,0,0,0,2,1,2,0,0,3.3,"مشاركة قليلة",0.00
"Xavi Simons","RB Leipzig","de Bundesliga","MF",22.0,2003,1,1,90,1.0,0,0,0,0,0,0,0,1,3,0,3.3,"مشاركة قليلة",0.00
"Nick Woltemade","Stuttgart","de Bundesliga","MF",23.0,2002,1,1,90,1.0,0,0,0,0,0,0,0,1,3,0,3.3,"مشاركة قليلة",0.00
"Matheo Raab","Union Berlin","de Bundesliga","GK",26.0,1998,1,1,90,1.0,0,0,0,0,0,0,0,0,0,0,3.3,"مشاركة قليلة",0.00
"Sven Ulreich","Bayern Munich","de Bundesliga","GK",36.0,1988,1,1,90,1.0,0,0,0,1,0,0,0,0,1,0,3.3,"مشاركة قليلة",0.00
